result_set_id,selection_sha256,workbook_sha256,generator_version,observation_type,observation_ref,action_ref,clip_id,source_action_slot,review_label,relative_start_seconds,relative_end_seconds,start_seconds,end_seconds,team_side,visibility,evidence_basis,training_decision,outcome,result_type,status,related_action_refs_json,note
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-011/action-001,round-01-clip-011/action-001,round-01-clip-011,1,receive,14,15,604.8,605.8,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-011/action-002,round-01-clip-011/action-002,round-01-clip-011,2,set,16,17,606.8,607.8,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-011/action-003,round-01-clip-011/action-003,round-01-clip-011,3,attack,17,18,607.8,608.8,near,direct_clear,direct_video,eligible,,,,[],后面副攻被晃起来的无效拦网，不知道算不算block
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-011/supplemental-001,round-01-clip-011/supplemental-001,round-01-clip-011,,block,21,22,611.8,612.8,near,direct_clear,direct_video,eligible,,,,[],后续可直接看见副攻被晃起的无效拦网起跳。
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-015/action-001,round-01-clip-015/action-001,round-01-clip-015,1,receive,7,8,1168.8,1169.8,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-015/action-002,round-01-clip-015/action-002,round-01-clip-015,2,set,8,9,1169.8,1170.8,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-015/action-003,round-01-clip-015/action-003,round-01-clip-015,3,attack,9,10,1170.8,1171.8,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-016/action-001,round-01-clip-016/action-001,round-01-clip-016,1,block,0,1,1380.6,1381.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-017/action-001,round-01-clip-017/action-001,round-01-clip-017,1,receive,9,10,1717.2,1718.2,near,direct_clear,direct_video,eligible,,,,[],接球失误，队友救球的垫的第二下和第三下推攻不知道算不算动作
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-017/supplemental-001,round-01-clip-017/supplemental-001,round-01-clip-017,,free_ball,13,14,1721.2,1722.2,near,direct_clear,direct_video,eligible_as_background,,,,[],接球失误后的第三次触球为可见的被动回球。
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-018/action-001,round-01-clip-018/action-001,round-01-clip-018,1,serve,1,2,1789.6,1790.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-018/action-002,round-01-clip-018/action-002,round-01-clip-018,2,block,5,6,1793.6,1794.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-018/action-003,round-01-clip-018/action-003,round-01-clip-018,3,dig,6,7,1794.6,1795.6,near,direct_clear,direct_video,eligible,,,,[],8-9尝试推攻失败，没过网。
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-018/supplemental-001,round-01-clip-018/supplemental-001,round-01-clip-018,,free_ball,8,9,1796.6,1797.6,near,direct_clear,direct_video,eligible_as_background,,,,[],8-9 秒可直接看见尝试推球回网但未过网。
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-019/action-001,round-01-clip-019/action-001,round-01-clip-019,1,receive,8,9,1817.4,1818.4,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-019/action-002,round-01-clip-019/action-002,round-01-clip-019,2,set,10,11,1819.4,1820.4,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-019/action-003,round-01-clip-019/action-003,round-01-clip-019,3,attack,11,12,1820.4,1821.4,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-001,round-01-clip-021/action-001,round-01-clip-021,1,receive,2,3,2181.2,2182.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-002,round-01-clip-021/action-002,round-01-clip-021,2,set,4,5,2183.2,2184.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-003,round-01-clip-021/action-003,round-01-clip-021,3,attack,5,6,2184.2,2185.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-004,round-01-clip-021/action-004,round-01-clip-021,4,dig,9,10,2188.2,2189.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-005,round-01-clip-021/action-005,round-01-clip-021,5,set,11,12,2190.2,2191.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-006,round-01-clip-021/action-006,round-01-clip-021,6,attack,12,13,2191.2,2192.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-007,round-01-clip-021/action-007,round-01-clip-021,7,block,16,17,2195.2,2196.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-008,round-01-clip-021/action-008,round-01-clip-021,8,dig,17,18,2196.2,2197.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-009,round-01-clip-021/action-009,round-01-clip-021,9,set,19,20,2198.2,2199.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-021/action-010,round-01-clip-021/action-010,round-01-clip-021,10,attack,21,22,2200.2,2201.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-022/action-001,round-01-clip-022/action-001,round-01-clip-022,1,receive,11,12,2274,2275,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-022/action-002,round-01-clip-022/action-002,round-01-clip-022,2,set,13,14,2276,2277,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-022/action-003,round-01-clip-022/action-003,round-01-clip-022,3,attack,14,15,2277,2278,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-023/action-001,round-01-clip-023/action-001,round-01-clip-023,1,receive,4,5,2347.2,2348.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-023/action-002,round-01-clip-023/action-002,round-01-clip-023,2,set,5,6,2348.2,2349.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-023/action-003,round-01-clip-023/action-003,round-01-clip-023,3,attack,6,7,2349.2,2350.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-023/action-004,round-01-clip-023/action-004,round-01-clip-023,4,background,6,7,2349.2,2350.2,near,direct_clear,sequence_context,excluded,,,,[],被拦回的保护
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-023/action-005,round-01-clip-023/action-005,round-01-clip-023,5,set,8,9,2351.2,2352.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-023/action-006,round-01-clip-023/action-006,round-01-clip-023,6,attack,9,10,2352.2,2353.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-024/action-001,round-01-clip-024/action-001,round-01-clip-024,1,receive,2,3,2369.6,2370.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-024/action-002,round-01-clip-024/action-002,round-01-clip-024,2,block,6,7,2373.6,2374.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-024/action-003,round-01-clip-024/action-003,round-01-clip-024,3,dig,7,8,2374.6,2375.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-024/action-004,round-01-clip-024/action-004,round-01-clip-024,4,set,8,9,2375.6,2376.6,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-024/action-005,round-01-clip-024/action-005,round-01-clip-024,5,free_ball,11,12,2378.6,2379.6,near,direct_clear,direct_video,eligible_as_background,,,,[],垫过去的自由球算不算进攻
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-024/action-006,round-01-clip-024/action-006,round-01-clip-024,6,block,15,16,2382.6,2383.6,near,direct_clear,direct_video,eligible,,,,[],
